Id,SOURCE,TARGET,LabelSource,LabelTarget
3315,1486,829,Juniper Networks,Alchemist Accelerator
3316,9,829,Siemens,Alchemist Accelerator
3317,291,829,SAP,Alchemist Accelerator
3318,659,1174,International Finance Corporation,Sayurbox
3319,418,1174,Alpha JWC Ventures,Sayurbox
3320,1654,1174,Global Brain Corporation,Sayurbox
3321,659,1722,International Finance Corporation,Navi Technologies
3322,1059,1722,Gaja Capital,Navi Technologies
3323,659,1844,International Finance Corporation,RBL Bank
3324,783,1844,Steadview Capital,RBL Bank
3325,39,1844,CDC Group,RBL Bank
3326,1609,1844,ICICI Lombard General Insurance,RBL Bank
